,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,ABCP11,Shoppings,"R$ 76,36",942.0,"R$ 0,05","0,06%","1,30%","2,69%","3,96%","0,43%","0,45%","0,33%","1,30%","1,82%","1,88%","1,90%","R$ 1.077.720.548,83","R$ 88,31",86.0,,,,,"9,10%",,1
1,AFCR11,Híbrido,"R$ 115,90",3540.0,"R$ 1,07","0,91%","2,65%","5,15%","0,00%","0,88%","0,86%","0,00%","2,65%","2,66%","3,60%","4,42%","R$ 122.174.377,34","R$ 102,90",113.0,,,,,,,0
2,AFOF11,Títulos e Val. Mob.,"R$ 220,00",2.0,"R$ 8,76",,,,,,,,,,,,"R$ 39.057.853,78","R$ 106,39",207.0,,,,,,,0
3,AIEC11,Lajes Corporativas,"R$ 89,92",5260.0,"R$ 0,57","0,63%","1,85%","0,00%","0,00%","0,62%","0,00%","0,00%","1,85%","-3,23%","-2,61%","-1,95%","R$ 483.596.768,76","R$ 100,23",90.0,,,,,"0,00%",,2
4,ALMI11,Lajes Corporativas,"R$ 1.100,00",36.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 229.388.402,53","R$ 2.063,27",53.0,,,,,"68,15%",,1
5,ALZR11,Logística,"R$ 128,23",10261.0,"R$ 0,61","0,47%","1,32%","2,22%","4,87%","0,44%","0,37%","0,41%","1,32%","5,10%","5,59%","1,21%","R$ 459.176.735,74","R$ 102,51",125.0,,,,,"0,00%",,13
6,ARCT11,Híbrido,"R$ 115,97",3258.0,"R$ 2,31","2,04%","6,63%","10,69%","18,55%","2,21%","1,78%","1,55%","6,63%","-18,70%","-17,04%","-13,21%","R$ 42.242.859,00","R$ 97,31",119.0,,,,,,,2
7,ARRI11,Títulos e Val. Mob.,"R$ 109,00",1728.0,"R$ 1,15","1,15%","3,50%","6,12%","9,48%","1,17%","1,02%","0,79%","3,50%","-1,18%","-0,04%","8,77%","R$ 37.842.289,81","R$ 96,44",113.0,,,,,,,0
8,ATSA11,Shoppings,"R$ 109,96",102.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 173.151.386,14","R$ 98,88",111.0,,,,,"20,90%",,1
9,BARI11,Títulos e Val. Mob.,"R$ 108,56",16320.0,"R$ 1,10","0,97%","4,16%","7,94%","12,30%","1,39%","1,32%","1,02%","4,16%","-0,61%","0,35%","3,40%","R$ 470.320.207,07","R$ 101,49",107.0,,,,,,,0
